Volatile_compounds,Analysis_method
(+) -3 -carene,GC-MS
(+) -2-carene,GC-MS
trans-beta -ocimene,GC-MS
linalylpropanoate,GC-MS
alpha-terpipene,GC-MS
1，3，6-Octatriene，3，7-dimethyl-，(Z) -,GC-MS
1，6-Octadien-3-ol，3，7-dimethyl-,GC-MS
cis-11-Tetradecen-1-ol,GC-MS
cis-beta-Terpineol,GC-MS
3-Cyclohexen-1-ol，4-methyl-1-( 1-methylethyl) -，(Ｒ) -,GC-MS
1，4-Cyclohexadiene，1-methyl-4-( 1-methylethyl) -,GC-MS
1，5-Cyclooctadiene，1，5-dimethyl-,GC-MS
Cyclohexene，1-methyl-4-( 1-methylethylidene) -,GC-MS
beta -Myrcene,GC-MS
2-Cyclohexen-1-ol，1-methyl-4-( 1-methylethyl) -，trans-,GC-MS
1，6，10-Dodecatrien-3-ol，3，7，11-trimethyl-，(E) -,GC-MS
2-Cyclohexen-1-ol，3-methyl-6-( 1-methylethyl) -，cis-,GC-MS
cis- beta -Terpineol,GC-MS
Umbellulone,GC-MS
η-octanol,GC-MS
Terpinen-4-ol,GC、GC-MS
Umbellulone,GC、GC-MS
Limonene,GC、GC-MS
gamma-Terpinene,GC、GC-MS
alpha-Terpinene,GC、GC-MS
Terpinolene,GC、GC-MS
Abietadiene,GC、GC-MS
alpha-Thujene,GC、GC-MS
Isophyllocladene,GC、GC-MS
p-Cymene,GC、GC-MS
alpha-TERPINEOL,GC、GC-MS
Fenchone,GC、GC-MS
Abietatriene,GC、GC-MS
Isohibaene,GC、GC-MS
(E)-Isoamyl cinnamate,GC、GC-MS
cis-Sabinene hydrate,GC、GC-MS
3-octen-5-yne，2，7-dimethyl-，(E) -,GC、GC-MS
Cedrol,GC、GC-MS
sabinyl acetate,GC、GC-MS
2，6-octadienoic acid，3，7-dimethyl-，methyl ester,GC、GC-MS
bicyclo［3 1 1］hept-2-ene 3，6，6-trimethyl,GC、GC-MS
alpha-longipinene,GC、GC-MS
beta-thujone,GC、GC-MS
2，4，6-octatriene，3，4-dimethyl,GC、GC-MS
trans-sabinene hydrate,GC、GC-MS
alpha-ylangene,GC、GC-MS
methyl propyl trisulfide,GC、GC-MS
"3,5-diethyl-1,2,4-trithiolan",GC、GC-MS
dipropyl disulfide,GC、GC-MS
propyl 1-propenyl trisulfide,GC、GC-MS
propyl trans-1-propenyl disulfide,GC、GC-MS
methyl cis-1-propenyl trisulfide,GC、GC-MS
methyl trans-1-propenyl trisulfide,GC、GC-MS
trans-2-hexend,GC、GC-MS
dimethyl trisulfide,GC、GC-MS
methyl trans- 1-propenyl disulfide,GC、GC-MS
propyl hydrodisulfide,GC、GC-MS
methyl propyl disulfide,GC、GC-MS
"3-methyl-5-ethyl-1,2,4-trithiol",GC、GC-MS
epiglobulol,GC-MS
"4aR-trans-1,2,3,4,4a,5,6,8a-octahydro-4a,8-dimethy-l2-（1- methylethylidene）-naphthalene",GC-MS
"2,2,6-trimethyl cyclohexanone",GC-MS
"9,12-octadecadienoic",GC-MS
pentadecane,GC-MS
"alpha,2-dimethyl-2-（4-methyl-3-pentenyl ）-,［ 1alpha（R?）,2alpha-cyclopropanemethanol",GC-MS
(1S)-beta-Pinene,GC-MS
farnesene,GC-MS
beta-cyclobuta,GC-MS
"3,6-Dimethylphenanthrene",GC-MS
"2,3,5-Trimethylphenanthrene",GC-MS
"2, 4-(trans, trans) dodecadienone",GC-MS
2-Methylanthracene,GC-MS
Methyltestosterone,GC-MS
Atractylon,GC-MS
4-methyl-1-isopropylcyclohexene,GC-MS
farnesyl acetone,GC-MS
Nootkatone,GC-MS
jasmatone,GC-MS
phytol acetone,GC-MS
tritriacontane,GC-MS
anisole,GC-MS
pygmaein,GC-MS
acetoxy hexane,GC-MS
apofarnesal-dihydro,GC-MS
cyclopentadecanolide,GC-MS
trimethyl,GC-MS
beta–pinene,GC-MS
gamma－Gurjunene,GC-MS
beta－Bourbonene,GC-MS
trans-2-Octen-1-ol,GC-MS
chavicol,GC-MS
"1,2,3,4-Tetrahydro-4-isopropyl-1,6-dimethylnaphthalene",GC-MS
carvotanacetone,GC-MS
alpha-Methylbenzyl alcohol,GC-MS
Piperenone,GC-MS
Germacrene,GC-MS
carvacrol,GC、GC–MS
y-terpinene,GC、GC–MS
p-cymene,GC、GC–MS
myrcene,GC、GC–MS
a-pinene,GC、GC–MS
a-terpineol,GC、GC–MS
alpha-Terpinene,GC、GC–MS
trans-sabinene hydrate,GC、GC–MS
Thymol,GC、GC–MS
Eucalyptol,GC、GC–MS
terpinen-4-ol,GC、GC–MS
limonene,GC、GC–MS
beta-phellandrene,GC、GC–MS
camphene,GC、GC–MS
cis-sabinene hydrate,GC、GC–MS
"2-pentenoic acid,5-(decahydro-5,5,8a-trimethyl-2- methylene-1-napthalenyl)-3-methyl-,methyi ester[1R",GC-MS
"2-phenanthrenol,4b,5,6,7,8,8a,910-octahydro-4b,8,8-trimethyl1-1-(1 -methylethyl)-,(4bs-trans)-",GC-MS
"1b,4a-Epoxy-2H-cyclopenta[3,4]cyclopenta[8,9]cyclopenta[1,2-b] oxiren-5(6H)-one,7-(acetyloxy)decahyd",GC-MS
"Acetic acid, 1,7,7-trimethyl-bicyclo[221]hept-2-yl",GC-MS
Betulin,GC-MS
"7-isoproapy-1,1,4a-trimehyl-1,4a –trimethly-1,2,3,4,9,10,10a octhy-drophenanthrene",GC-MS
Friedelan-3-one,GC-MS
"Stigmastane-3,6-dione,(5a)-",GC-MS
"Pregnan-20-one,5,6-epoxy-3-hydroxy-,(3a,5a,6a)-",GC-MS
"Azulene, 1,2,3,5,6,7,8,8a-octahydro-1,4-dimethyl-7-(1- methylethenyl)-,[IS-(1a,7a,8aa)]-",GC-MS
2- Decen-1-ylsuccinic anhydride,GC-MS
"Cholesta-22,24-dien-5-ol,4,4-demithyl-",GC-MS
Methyl thyme ether,GC-MS
2-Furancarpox aldehyde,GC-MS
isopinocamphone,GC-MS
"2,3-dihydro-Benzofuran",GC-MS
2-（2‘，3’-epomethlbutyl）-3-methylfuran,GC-MS
p-cymene-A-ol,GC-MS
cis-farnesene,GC-MS
Crypton,GC-MS
Delta-3-Caren,GC-MS
alpha-Terpinol,GC-MS
Epi-bicyclosesquiphellandrene,GC-MS
"3,7-dimethyloct-2-en-1-ol",GC-MS
1s，cis- calamenene,GC-MS
angelicin,GC-MS
muurolene,GC-MS
Furanocoumarin,GC-MS
Linolenyl alcohol,GC-MS
1-Hexadecyne,GC-MS
"1,2,4-Trithiolane",GC-MS
"1,2,4,6-Tetrathiepane",GC-MS
Cyclopentanone ethyl-eneketa,GC-MS
"1,2,4,5-Tetrathiane",GC-MS
cis-Pinane,GC-MS
"3-Isobutylhexahydropyrrolo[1,2-a]pyrazine-1,4-dione",GC-MS
2-Trimethylsilyl ethanol,GC-MS
8-heptylpentadecane,GC-MS
3-Methyl-6-（1-methylethyl） -7-oxabicyclo［410］,GC-MS
Cyclooctanone,GC-MS
Diaminopyridine,GC-MS
"4-Methoxybenzene-1,2-diol",GC-MS
"（4R,S）-4-Isopropyl-trans-bicyclo［430］-2-nonen-8-one",GC-MS
6-Methyl-3-（1-methylethyl） -7-oxabicyclo［410］,GC-MS
2-Aminoresorcinol,GC-MS
L-4-Terpineol,GC-MS
"1,6-Heptadiyne",GC-MS
2-（4-Methylphenyl） propan-2-ol,GC-MS
alpha-Thujenal,GC-MS
1-Phenyl-2-propanol,GC-MS
linalool,GC-FTIR、GC-MS
alpha-TERPINEOL,GC-FTIR、GC-MS
Linoleic acid,GC-FTIR、GC-MS
Eucalyptol,GC-FTIR、GC-MS
nerolidol,GC-FTIR、GC-MS
Palmitic Acid,GC-FTIR、GC-MS
2，5-octadecadienoic acid methyl ester,GC-FTIR、GC-MS
"2,2,6-TriMethyl-6-vinyltetrahydropyran-3-ol",GC-FTIR、GC-MS
alpha-gurjunene,GC-FTIR、GC-MS
methyl myristate,GC-FTIR、GC-MS
11，14-octad-ecadienoic acid methyl ester,GC-FTIR、GC-MS
2，4-menthadiene,GC-FTIR、GC-MS
citronellol,GC-FTIR、GC-MS
caryophyllene,GC-FTIR、GC-MS
geraniol,GC-FTIR、GC-MS
spathalenol,GC-MS
2-tropolone,GC-MS
"1, 2, 3, 4, 4a, 5,6,8a-octa-hydro-7-methyl-4-methylene -1- (1-methyl-ethyl) naphthalene",GC-MS
olean-12-ene,GC-MS
"Tricyclo[54002,8]undec-9-ene,2,6,6,9-tetramethyl-",GC-MS
"1,2,3,5,6,8a-Hexahydro-4,7-dimethyl-1-(1-methylethyl)napthtalene",GC-MS
2－isopropenyl－4a，8－dimethyl－1，2，3，4，4a，5，6，8a－octahydronaphthalene,GC-MS
Cholesterol,GC-MS
urs-12-en-24-oic acid，3-oxo，methyl ester,GC-MS
4-isopropyltoluene,GC-MS
"2，6-dimethylocta-2,6-diene",GC-MS
"2-Hexen-1-ol,(E)",GC-MS
Eicosene,GC-MS
L-Linalool,GC-MS
methyl hexadecanoate,GC-MS
(Z)-9-Tricosene,GC-MS
"9,12,15-Octadecatrienoic acid, methyl ester",GC-MS
T－Muurolol,GC-MS
2-Acetylpyrrole,GC-MS
o-Methoxybenzylamine,GC-MS
2-Acetylfuran,GC-MS
4-(3-Aminophenyl)-2- methyl-4-oxobutyric acid,GC-MS
"4-Cyclopentene-1,3-dione",GC-MS
Ethyl 4-aminobenzoate,GC-MS
Dimethyltrisulfide,GC-MS
3－methoxy－1，2－ Propanediol,GC-MS
2，3－dihydro－3，5－dihydroxy－6－methyl－4H－Pyran－4－one,GC-MS
4－methyl－1，3－Dioxane,GC-MS
Pentanal,GC-MS
2－hydroxypropanoic acid,GC-MS
1，3 － Dioxan － 5 － ol,GC-MS
2－Methoxy－1，3－dioxolane,GC-MS
2－ethoxy－Butane,GC-MS
1，1－diethoxypentane,GC-MS
Butanedioic acid monomethyl ester,GC-MS
1－(1－methylethoxy)－2－Propanol,GC-MS
Ethyl valerate,GC-MS
1 － Acetoxypentane,GC-MS
1-Methoxy-2-propyl acetate,GC-MS
curzerene,GC-MS
beta-elemenone,GC-MS
5-hydroxy-3-methyl-1-indanone,GC-MS
2-( 2，5-dimethoxyphenyl) cyclohex-2-enone,GC-MS
9，10-dimethyl-1，2，3，4，5，6，7，8-octahydro-anthracene,GC-MS
(-)-Isoborneol,GC-MS
bicyclo［4 3 0］nonan-1-ol，7，9-bis( methylene) -2，2，6-trimethyl-,GC-MS
solavetivone,GC-MS
beta-eudesmene,GC-MS
germacrone,GC-MS
4-(4-methylphenoxy) anisole,GC-MS
Humulene oxide II,GC-MS
Dillether,GC-MS
"Benzene,1-methyl-3-(1-methylethyl) -",GC-MS
Bicyclo［310］hexane，4－methylene－1－( 1－methylethyl) －,GC-MS
alpha－Caryophyllene,GC-MS
2－Propenoic acid，3－phenyl－，methyl ester,GC-MS
1，4－Cyclohexadiene，1－methyl－4－( 1－methylethyl) －,GC-MS
Bicyclo［221］heptan－2－one，1，7，7－trimethyl－，( 1Ｒ) －,GC-MS
1，3，6－Octatriene，3，7－dimethyl－,GC-MS
alpha-Terpinyl Acetate,GC、GC-MS
"Dehydro-1,8-cineole",GC、GC-MS
Linalyl acetate,GC、GC-MS
Geraniol,GC、GC-MS
Myrecene,GC、GC-MS
Geranylacetate,GC、GC-MS
6－ethenyltetrahydro－2，2，6－trimethyl－2H－pyran－3－ol,GC-MS
4，8，12，15，15－pentamethyl－bicyclo［931］pentadeca－3，7－dien－12－ol,GC-MS
Methylcyclohexane,GC-MS
1－heptatriacotanol,GC-MS
p-Xylene,GC-MS
5－pentyl－1，3－benzenediol,GC-MS
cyclohexanecarboxylic acid，4 － tridecyl ester,GC-MS
4－(2，6，6－trimethyl－1，3－cyclohexadien－1－yl)－2－butanone,GC-MS
Z，Z－9，12－octadecadienoic acid,GC-MS
3，5－dehydro－6－methoxy－cholest－22－ene－21－ol，pivalate,GC-MS
2－methoxy－4－vinylphenol,GC-MS
ethyliso－allocholate,GC-MS
p－ xylene,GC-MS
3-hydroxy-6beta-cyclopropane-5beta-cholestane,GC-MS
5alpha-spirostane,GC-MS
Campesterol,GC-MS
"9,10-Dehydroisolongifolene",GC-MS
"Eudesma-4(14),7(11)-dien-8-one",GC-MS
Cyclotetradecane,GC-MS
"8,9-dehydro-neoisolongifolene",GC-MS
"octahydro-4,4,8,8-tetramethyl-4a,7-methano-4aH-naphth[1,8a-b]oxirene",GC-MS
Hinesol,GC-MS
Procerin,GC-MS
"Dihydrocoumarin, 5,7,8-trimethyl-",GC-MS
Butylidenephthalide,GC-MS
Eudesma－5，11(13)－dien－8，12－olide,GC-MS
Maaliene,GC-MS
Eremanthin,GC-MS
4－Ethylpropiophenone,GC-MS
Menthofurane,GC-MS
Selinene,GC-MS
p－Heptylphenol,GC-MS
alpha－Eudesmol,GC-MS
chrysanthenone,GC 和 GC-MS
limonene,GC 和 GC-MS
camphor,GC 和 GC-MS
gamma-Terpinene,GC 和 GC-MS
germacrene D,GC 和 GC-MS
sabinene,GC 和 GC-MS
Eucalyptol,GC 和 GC-MS
a-pinene,GC 和 GC-MS
d-guaiene,GC 和 GC-MS
borneol,GC 和 GC-MS
linalool,GC 和 GC-MS
alpha-Terpinene,GC 和 GC-MS
camphene,GC 和 GC-MS
caryophyllene oxide,GC 和 GC-MS
1-octen-3-ol,GC 和 GC-MS
1-Acetoxy-2-ene(E)-4，6-decandiyne,GC-MS
5-(1，3-Dimethylbutylidene)-1，3-cyclopentadiene,GC-MS
m-Diisopropylbenzene,GC-MS
alpha-Springene,GC-MS
Benzalacetylacetone,GC-MS
Viridene,GC-MS
Acetylmyrtenol,GC-MS
2-Camphene-10-al,GC-MS
Germacrene?D,GC-MS
alpha－Cadinol,GC-MS
Phosphoric acid，dibutyl 1，1－dimethyl－2，2，3，3－tetrafluoropropyl ester,GC-MS
Biphenyl,GC-MS
1，6－Octadien－3－ol，3，7－dimethyl－,GC-MS
6－(p－Tolyl)－2－methyl－2－heptenol,GC-MS
2－Methyl－4－(2，6，6－trimethylcyclohex－1－enyl)but－2－en－1－ol,GC-MS
Cubenol,GC、GC-MS
alpha-dehydro-ar-himachalene,GC、GC-MS
gerrnacrene D,GC、GC-MS
geranyl isovalerate,GC、GC-MS
chamazulene,GC、GC-MS
(S)-cis-Verbenol,GC-MS
Dimethulen,GC-MS
Pinene,GC-MS
terpinene,GC-MS
aplotaxene,GC-MS
Dehydrocostus lactone,GC-MS
2-methyl-1-methylene-3-(1-methylethenyl) cyclopentane,GC-MS
beta-costol,GC-MS
"(8Z,11Z)-1,8,11-heptadecatriene",GC-MS
"valerena-4,7(11)-diene",GC-MS
1-pentadecene,GC-MS
Dihydrodehydrocostus lactone,GC-MS
"Cyclobuta[1,2,3,4]dicyclopentene,decahydro-3a-methyl-6-methylene-1-(1-methylethyl)",GC-MS
"p-Mentha-1,5-dien-8-ol",GC-MS
"Spiro[45]decan-7-one,1,8-dimethyl-8,9-epoxy-4-isopropyl",GC-MS
"Bicyclo[311]hept-3-en-2-one,4,6,6-trimethyl",GC-MS
"3-Cyclopentene-1-acetaldehyde,2,2,3-trimethyl",GC-MS
"3-Cyclohexen-1-ol,1,4-methyl-1-(1-methylethyl)",GC-MS
"Cyclohexane,1-ethenyl-1-methyl-2,4-bis(1-methylethenyl)",GC-MS
"3-Carene,4-isopropenyl",GC-MS
Spathuleno,GC-MS
delta－Elemene,GC-MS
3，7－Cyclodecadien－1－one，10－(1－methylethenyl)－，(E，E)－,GC-MS
2－Methyl－3－(3－methyl－but－2－enyl)－2－(4－methyl－pent－3－enyl)－oxetane,GC-MS
Carane，4，5－epoxy－，trans,GC-MS
4 － Isopropyl － trans － bicyclo ［4 3 0］－ 2 － nonen － 8 － one， ( 4R，S) －,GC-MS
4，6，6－Trimethyl－2－(3－methylbuta－1，3－dienyl)－3－oxatricyclo［5100(2，4)］octane,GC-MS
Cyclooctene，4 － methylene － 6 － ( 1 － propenylidene) －,GC-MS
Germacron,GC-MS
5，8－Epoxy－3H－2－benzopyran，4，4a，5，8－tetrahydro－5，8－dimethyl－，(4aalpha，5alpha，8alpha)－,GC-MS
alpha－Bulnesene,GC-MS
Aromadendrene oxide－(2),GC-MS
Dolichodial,GC-MS
7－( 1，3－Dimethylbuta－1，3－dienyl)－1，6，6－trimethyl－3，8－dioxatricyclo［5100(2，4)］octane,GC-MS
2－Cyclohexen－1－one，4－ethyl－3，4－dimethyl－,GC-MS
1，4，7，－ Cycloundecatriene，1，5， 9，9 － tetramethyl － ，Z，Z，Z －,GC-MS
12 － Oxabicyclo［9 1 0］ dodeca － 3，7 － diene， 1，5，5，8 － tetramethyl － ， ［1R － ( 1R* ，3E，7E，11R* ) ］－,GC-MS
beta－ Myrcene,GC-MS
Nerolidol 2,GC-MS
Benzene，1 － methyl － 4 － ( 1 － methylethyl) －,GC-MS
1，4－Cyclohexadiene，1－methyl－4－(1－methylethyl)－,GC-MS
cis－Z－alpha－Bisabolene epoxide,GC-MS
1，3，6 － Octatriene，3，7 － dimethyl － ，(E) －,GC-MS
tau － Cadino,GC-MS
1H－Cyclopropa［a］naphthalene，decahydro－1，1，3a－trimethyl－7－methylene－，［1aS－(1aalpha，3aalpha， 7abeta，7b,GC-MS
Naphthalene，1，2，3，5，6，8a － hexahydro － 4，7 － dimethyl － 1 － ( 1 － methylethyl) － ，( 1S － cis) －,GC-MS
12－Oxabicyclo［910］dodeca－3，7－diene，1，5，5，8－tetramethyl－，［1R－(1R*，3E，7E，11R* )］－,GC-MS
Naphthalene，decahydro － 4a － methyl － 1 － methylene － 7 － ( 1 － methylethenyl) －，［4aR － ( 4aalpha ，7,GC-MS
1，4，7，－ Cycloundecatriene，1， 5，9，9 － tetramethyl － ，Z，Z，Z －,GC-MS
（E，Z)－alpha－Farnesene,GC-MS
1，6，10 － Dodecatrien － 3 － ol，3， 7，11 － trimethyl － ，(E) －,GC-MS
5，9，13 － Pentadecatrien － 2 － one，6，10，14 － trimethyl － ，( E，E) －,GC-MS
trans-Chrysanthenyl acetate,GC-MS
verbenol,GC-MS
"Spiro[ 27] dec-4-ene , 1, 1 , 5, 6 , 6, 9, 9-heptamethyl-10-methylene-",GC-MS
"Butanoic acid ,3-methyl-, 1-ethenyl-1, 5-dimethyl-4-hexenyl ester",GC-MS
"2, 6-Octadien-1-ol,3 , 7-dimethyl- ,propanoate",GC-MS
"Propanoic acid, 2, 2-dimethyl-, 2-(1, 1-dimethylethyl)phenyl ester",GC-MS
1-Phenylpentan-2-one,GC-MS
"Bicyclo[ 222] octa-2, 5-diene, 1, 2 ,3 , 6-tetramethyl-",GC-MS
"Cycloheptane, 4-methylene-1-methyl-2-(2-methyl-1-propen-1-yl)-1-vinyl-",GC-MS
"6,10,14-Trimethylpentadecan-2-one-",GC-MS
"3,3-Dimethylcyclohexanone",GC-MS
3，4-Eugenol,GC-MS
beta-Lonone,GC-MS
Megastigmatrienone 2,GC-MS
beta-Ionol,GC-MS
Megastigmatrienone 4,GC-MS
( 9E，12E，15E) -9，12，15-Octadecatrienal,GC-MS
Dihydroactinidolide,GC-MS
Thiosalicylic acid，S-（tert-butyldimethylsilyl）-，tert-butyldimethylsilyl ester,GC-MS
Benzaldehyde，2，4-bis（trimethylsiloxy）-,GC-MS
3-Cyclohexen-1-ol，1-methyl-4-（1-methylethyl）-,GC-MS
Mercaptoacetic acid，bis（trimethylsilyl）-,GC-MS
Benzoic acid，4-methyl，3-methylbutyl ester,GC-MS
Tridecanol，2-ethyl-2-methyl,GC-MS
Sulfurous acid，butyltetradecyl ester,GC-MS
"hexadecanoic acid, ethyl ester",GC-MS
4-( phenylmethyl)-pyridine,GC-MS
Ethyl linoleate,GC-MS
"3a, 6a-dihydro-2(3H,4H)-cyclopenta[b]furanone",GC-MS
"Octadecanoic acid, 12-hydroxy-, homopolymer, octadecanoate, ethyl ester",GC-MS
"tetradecanoic acid, ethyl ester",GC-MS
"pentadecanoic acid, ethyl ester",GC-MS
"（E)-11-hexadecenoic acid, ethyl ester",GC-MS
benzothiazole,GC-MS
Isoelemicine,GC-MS
tetramethoxyallylbenzene,GC-MS
Cyclofenchene,GC-MS
1alphaR－(1alphaalpha，4alphabeta，7alpha，7alphabeta，7balpha)－decahydro－1，1，7－trimethyl－4－methylene－1H－,GC-MS
1alphaR－(1alphaalpha，7alpha，7alphabeta，7balpha)－1a，2，3，5，6，7，7alpha，7b－octahydro－1，1，4，7－tetramethyl,GC-MS
L－beta－pinene,GC-MS
(1R)－1，7，7－trimethyl－bicyclo［221］heptan－2－one,GC-MS
1S－(1alpha，4alpha，7alpha)－1，2，3，4，5，6，7，8－octahydro－1，4－dimethyl－7－(1－methylethenyl)－azulene,GC-MS
7－methyl－1，2，3，5，8，8a－hexahydronaphthalene,GC-MS
1－ethenyl－1－methyl－2－(1－methylethenyl)－4－(1－methylethylidene)－cyclohexane,GC-MS
(1S－cis)－1，2，3，5，6，8a－hexahydro－4，7－dimethyl－1－(1－methylethyl)－naphthalene,GC-MS
1alpha，4abeta，8aalpha－1，2，3， 4，4a，5，6，8a－octahydro－7－methyl－4－methylene－1－(1－methylethyl)－naphthalen,GC-MS
4alphaR－(4alphaalpha，7alpha，8alphabeta)－decahydro－4alpha－methyl－1－methylene－7－(1－methylethenyl)－naph,GC-MS
2－methoxy－4－methyl－1－(1－methylethyl)－benzene,GC-MS
1S－(cis)－1，2，3，4，5，6，7，8－octahydro－1，4－dimethyl－7－(1－methylethylidene)－azulene,GC-MS
3alphaS(3aalpha，3bbeta，4beta，7alpha，7aS)－octahydro－7－methyl－3－methylene－4－(1－methylethyl)－1H－cyclop,GC-MS
fenchyl acetate,GC-MS
alpha－cubebene cyclohexane,GC-MS
1alpha，4abeta，8aalpha－1，2，3，4，4a，5，6，8a－octahydro－7－methyl－4－methylene－1－(1－methylethyl)－naphthalene,GC-MS
1，2，3，4，4a，7－hexahydro－1，6－dimethyl－4－(1－methylethyl)－naphthalene,GC-MS
S－( E，E)－1－methyl－5－methylene－8－(1－methylethyl)－1，6－cyclodecadiene,GC-MS
1，3，3－trimethyl－tricyclo［2210(2，6)］heptane,GC-MS
6-Octen-1-ol,GC-MS
(1S)-alpha-terpinyl acetate,GC-MS
trans-rose oxide,GC-MS
cis-Rose　oxide,GC-MS
Citronellyl propionate,GC-MS
tricyclane,GC-MS
heptadecadiene,GC-MS
alpha-furanyl ethanone,GC-MS
Phenanthrene,GC-MS
cis-beta-ocimene,GC-MS
p-menth-1-ene,GC-MS
isobornyl acetate,GC-MS
2-isopropyl-5-menthyl-anisole,GC-MS
cis-4-thujanol,GC-MS
Acoradiene,GC-MS
p-Menth-2-ene,GC-MS
palmitic acid ethyl ester,GC-MS
shyobunone,GC-MS
delta-amorphene,GC-MS
ethyl heptadecanoate,GC-MS
Bis(2-ethylhexyl) adipate,GC-MS
dipentadecyl ketone,GC-MS
11-Hexadecenoic acid,GC-MS
Bis(2-ethylhexyl) Phthalate-d4,GC-MS
Ethyl linolenate,GC-MS
18-Pentatriacontanone,GC-MS
14-Heptacosanone,GC-MS
Hexadecanoic?acid?vinyl?ester,GC-MS
"6,9-Octadecadienoic acid,methyl ester",GC-MS
Isolongifolene,GC-MS
[+]-nerolidol,GC-MS
Heptanal,GC-MS
1，2-dimethoxy benzene,GC-MS
Alloaeromadendrene,GC-MS
calerene,GC-MS
Valencen,GC-MS
2-methoxy-4-(2-propenyl)-phenolacetate,GC-MS
2-Nonanone,GC-MS
2-Heptanol,GC-MS
"3,5-dimethyl-1,6-anti-octadiene",GC-MS
2-Heptanone,GC-MS
"2',3',4'-TriMethoxyacetophenone",GC-MS
Epoxycaryophyllene,GC-MS
Acorenol,GC-MS
p-allylphenol,GC-MS
"2,5-Octadecadiynoic acid methyl ester",GC-MS
alpha-ylangene,GC-MS
beta-Piperitene,GC-MS
cis-Z-alpha-Bisabolene,GC-MS
isoaromadendreneepoxide,GC-MS
（1R，7S，E）-7-isopropyl-4，10-dimethylenecyclodec-5-enol,GC-MS
caryophylla-4（12），8（13）-dien-5alpha-ol,GC-MS
"12-Oxabicyclo[910]dodeca-3,7-diene,1,5,5,8-tetramethyl-, (1R,3E,7E,11R)-",GC-MS
Retinal,GC-MS
10-heptadecen-8-ynoic acid，methyl ester，（E）-,GC-MS
"methyl-9,11-octadecadiynoate",GC-MS
Secalciferol,GC-MS
Dipropyl sebacate,GC-MS
cis-3-hexenyl valerate,GC-MS
hexyl 2-methylbutyrate,GC-MS
Hexyl acetate,GC-MS
cis-3-Hexenyl butyrate,GC-MS
(E)－beta－Ocimene,GC-MS
Isoamyl n-Butyrate,GC-MS
Hexyl butyrate,GC-MS
Isopentyl benzoate,GC-MS
4-hexen-1-ol,GC-MS
Isobutyl Tiglate,GC-MS
pentyl3-methylbutanoate,GC-MS
n-tetradecane,GC-MS
Ethyl caprylate,GC-MS
2-hexen-1-ol acetate,GC-MS
4-Decanoic acid，ethyl ester,GC-MS
4-Octenoic acid，ethyl ester，（Z）-,GC-MS
Decanoic acid，ethyl ester,GC-MS
Heptanoic acid，ethyl ester,GC-MS
Ethyl heptanoate,GC-MS
2－methyl－butanoic acid,GC-MS
"（Z,Z,Z）－9,12,15－octadecatrienoic acid",GC-MS
Beta-Sitosterol,GC-MS
Dihydroedulan IA,GC-MS
3－methyl－pentanoic acid,GC-MS
"6,10,14－trimethyl－2－pentadecanone",GC-MS
2-Ethylhexan-1-ol,GC-MS
"3,4-Dihydro-?-ionone",GC-MS
"（E）－6－methyl－5－（propan－2－ylidene）nona－6,8－dine－2－one",GC-MS
"6,9-pentacosadiene",GC-MS
Tetratetracontane,GC-MS
Dotriacontane,GC-MS
"1-Octanol, 2-hexyl-",GC-MS
Glycerol,GC-MS
"l-Ascorbic acid 2,6-dihexadecanoate",GC-MS
Falcarinol,GC-MS
"9,12-Octadecadien-1-ol, (Z,Z)-",GC-MS
Pentadecanal,GC-MS
"3-Cyclohexene-1-carboxaldehyde, 1-methyl-",GC-MS
"2,4-Dodecadienal",GC-MS
gamma-Decalactone,GC-MS
2-methylhexacosane,GC-MS
1-Pentadecanol acetate,GC-MS
pentadec-2-yn-1-ol,GC-MS
Isobornyl isovalerate,GC-MS
9-Octadecenamide,GC-MS
2-Methyl-1-octene,GC-MS
Kaurene,GC-MS
Sandaracopimaracopimaradiene,GC-MS
"Bicyclo[410]hept-2-ene,4,7,7-trimethyl-",GC-MS
（3aS，3bＲ，4S，7Ｒ，7aＲ) -7-Methyl-3- methylidene-4-( propan-2-yl ) octahydro-1H-cyclopenta［1，3］cyclopro,GC-MS
gamma-Caryophyllene,GC-MS
1，2，4a，5，6，8a-Hexahydro-4，7-dimethyl-1-( 1-methylethyl) -naphthalene,GC-MS
1-Isopropyl-7-methyl-4-methylene-1， 2，3，4，4a，5，6，8a-octahydronaphthalene,GC-MS
Ferruginol,GC-MS
Bicyclo［2 2 1］heptan-2-ol，1，7，7-trimethyl-，2-acetate,GC-MS
(-)-Camphene,GC-MS
3，6，6-Trimethyl-2-norpinene,GC-MS
"Bicyclo[221]hept-2-ene,1,7,7-trimethyl-",GC-MS
Hexyl benzoate,GC-MS
Hexenyl benzoate,GC-MS
Benzoin,GC-MS
m-Cresyl phenylacetate,GC-MS
Dimethyl disulfide,GC-MS
o-Xylene,GC-MS
1-undecene,GC-MS
Di-epi-alpha-cedrene,GC-MS
Octane,GC-MS
(E)- -Farnesene,GC-MS
(S)-beta-Bisabolene,GC-MS
Hexamethylcyclotrisiloxane,GC-MS
Tricyclo[41002，4]heptane，3，3，7，7-tetramethyl-5- (2-methyl-1-propen-1-yl)-,GC-MS
1，3-Diisopropenyl-6-methylcyclohexene,GC-MS
alpha-funebrene,GC-MS
Cyclic dimethylsiloxane tetramer,GC-MS
